Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0.000808728,0.000201167,4.81E-06,7.03E-06,4.65E-06,3.29E-07,0.001208703,0.014527845,0.005051112,0,0.005927716,0.055735931,0.023566092,0,0.005766214,0.400033156,6.71E-05,0.000164232,0.000201133,1.17E-07,8.33E-09,8.33E-09,0,8.33E-09,1.67E-08,2.50E-08,2.50E-08,0,2.50E-08,2.50E-08,0,0,0.999864374,0.994726885,2.76E-05,4.14E-05,0.022075055,0.004149879,0.022808219,0.008450504,7.14E-05,0,0,0,0,0,0,0,0,0.006410256,0.025342466,0.005051112,0.023566092,0.999864374,4.81E-06,4.66E-06,7.03E-06,3.29E-07,0,0,5.03E-06,0.999999886,0,0,0,0,0,0,0,0
0.000808728,0.000258817,0,3.51E-06,5.04E-06,2.34E-07,0.002618856,0.031476998,0.010944077,0,0.008459945,0.079545455,0.03363316,0,0.0057642,0.400012884,0.000258817,0,0.000258817,0.000258825,0,0,0,0,8.33E-09,0,0,0,0,0,0,0,0.999864373,0.994726844,1.07E-05,1.61E-05,0.047829286,0.005922643,0.03557363,0.010005812,0.00010006,0,0,0,0,0,0,0,0,0.006410256,0.047431507,0.010944077,0.03363316,0.999864373,0,5.05E-06,3.51E-06,2.34E-07,0,0,0,0.999999886,0,0,0,0,0,0,0,0
0.000808728,0.00025655,0,3.51E-06,2.95E-06,1.63E-07,0.001531023,0.018401937,0.006398076,0,0.005870166,0.055194805,0.023337295,0,0.005763106,0.400012998,0.00025655,0,0.00025655,0.000256558,0,0,0,0,8.33E-09,0,0,0,0,0,0,0,0.999864373,0.994726844,1.08E-05,1.62E-05,0.027961737,0.004109589,0.022859589,0.007809414,6.10E-05,0,0,0,0,0,0,0,0,0.006410256,0.030479452,0.006398076,0.023337295,0.999864373,0,2.95E-06,3.51E-06,1.63E-07,0,0,0,0.999999886,0,0,0,0,0,0,0,0
0.000808728,0.000193842,0,3.51E-06,3.64E-06,1.00E-07,0.001893634,0.022760291,0.00791341,0,0.003625691,0.034090909,0.014414212,0,0.005763193,0.400017205,0.000193842,0,0.000193842,0.00019385,0,0,0,0,8.33E-09,0,0,0,0,0,0,0,0.999864372,0.994726844,1.43E-05,2.15E-05,0.034584253,0.002538276,0.020162671,0.001952354,3.81E-06,0,0,0,0,0,0,0,0,0.006410256,0.026883562,0.00791341,0.014414212,0.999864372,0,3.65E-06,3.51E-06,1.00E-07,0,0,0,0.999999864,0,0,0,0,0,0,0,0
0.000808728,4.54E-06,0,3.51E-06,3.10E-06,1.15E-07,0.001611604,0.01937046,0.006734817,0,0.004143646,0.038961039,0.016473385,0,0.005861801,0.400750469,4.54E-06,0,4.54E-06,4.55E-06,0,0,0,0,8.33E-09,0,0,0,0,0,0,0,0.999864373,0.994726856,0.000625391,0.000938086,0.029433407,0.002900886,0.019520548,0.003904707,1.52E-05,0,0,0,0,0,0,0,0,0.006410256,0.026027397,0.006734817,0.016473385,0.999864373,0,3.11E-06,3.51E-06,1.15E-07,0,0,0,0.999999886,0,0,0,0,0,0,0,0
0.000808728,0.000506508,4.81E-06,7.03E-06,4.65E-06,4.21E-07,0.001208703,0.014527845,0.005051112,0,0.007596685,0.071428571,0.030201205,0,0.005763481,0.400013165,0.000168903,0.000413667,0.00050645,1.33E-07,3.33E-08,3.33E-08,0,3.33E-08,4.17E-08,2.50E-08,2.50E-08,0,2.50E-08,2.50E-08,0,0,0.999864373,0.994726863,1.10E-05,1.65E-05,0.022075055,0.005318292,0.027277397,0.011807553,0.000139339,0,0,0,0,0,0,0,0,0.006410256,0.030308219,0.005051112,0.030201205,0.999864373,4.81E-06,4.66E-06,7.03E-06,4.21E-07,0,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.000808728,0.000942233,0,3.51E-06,3.10E-06,1.16E-07,0.001611604,0.01937046,0.006734817,0,0.004201197,0.039502165,0.016702182,0,0.005761402,0.400003538,0.000942233,0,0.000942233,0.000942242,0,0,0,0,8.33E-09,0,0,0,0,0,0,0,0.999864372,0.994726844,2.95E-06,4.42E-06,0.029433407,0.002941176,0.019648973,0.004026729,1.62E-05,0,0,0,0,0,0,0,0,0.006410256,0.02619863,0.006734817,0.016702182,0.999864372,0,3.11E-06,3.51E-06,1.16E-07,0,0,0,0.999999864,0,0,0,0,0,0,0,0
0.006759747,0.000268167,0,7.03E-06,0,0,0,0,0,0,0,0,0,0,0.005760922,0.400018652,0.000134133,0.000202459,0.0002353,3.30E-05,0,0,0,0,8.33E-09,3.29E-05,3.29E-05,0,3.29E-05,3.29E-05,0,0,0.999864373,0.994726885,1.04E-05,3.11E-05,0,0,0,0,0,0,0,0,0,1,1,0,0,0.012820513,0,0,0,0.999864373,0,0,7.03E-06,0,0.006576538,0.001296997,0,0.999999886,0,0,0,0,0,0,0,0
0.000808728,1.97E-06,4.81E-06,7.03E-06,5.89E-06,2.81E-07,0.001531023,0.018401937,0.006398076,0,0.005064457,0.047619048,0.020134137,0,0.006301008,0.403571429,7.22E-07,5.34E-07,1.16E-06,5.08E-07,4.00E-07,4.00E-07,0,4.00E-07,4.08E-07,4.08E-07,4.08E-07,0,4.08E-07,4.08E-07,0,0,0.999864373,0.994726863,0.00297619,0.004464286,0.027961737,0.003545528,0.02234589,0.005788016,3.35E-05,0,0,0,0,0,0,0,0,0.006410256,0.024828767,0.006398076,0.020134137,0.999864373,4.81E-06,5.91E-06,7.03E-06,2.81E-07,0,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.001342794,8.05E-06,4.81E-06,7.03E-06,0.000228217,9.22E-07,0.05930701,0.71283293,0.247841251,0,0.016632136,0.156385281,0.066122335,0,0.007533281,0.400838574,2.75E-06,5.99E-06,7.63E-06,1.25E-07,4.00E-07,4.00E-07,0,4.00E-07,4.08E-07,1.67E-08,1.67E-08,0,1.67E-08,1.67E-08,0,0,0.999864373,0.994726863,0.000698812,0.001048218,0.212656365,0.05930701,0.384811644,0.136944461,0.018743156,0,0,0,0,0,0,0,0,0.006410256,0.427568493,0.247841251,0.066122335,0.999864373,4.81E-06,0.000228743,7.03E-06,9.22E-07,0,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
