Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
0.006759747,1.33E-07,4.81E-06,0,2.40E-06,0,0.001248993,0,0.002609741,0.003275284,0,0,0,0,0.009481517,0.5,1.33E-07,0,1.33E-07,1.42E-07,3.33E-08,3.33E-08,0,3.33E-08,4.17E-08,0,0,0,0,0,1,0,0.999864374,0.994726826,0.166666667,0,0,0.001248993,0.007962329,0.003782685,1.43E-05,0,1,0,0,1,0,0,0,0,0.010616438,0.002609741,0,0.999864374,4.81E-06,2.41E-06,0,0,0.003982544,0,0,0.999999886,0,0,0,0,0,0,0,0
0.000808728,0.000508867,1.44E-05,7.03E-06,1.18E-05,4.59E-07,0.001531023,0.018401937,0.006398076,0,0.008287293,0.077922078,0.032946769,0,0.005764382,0.400019655,0.000101853,0.000197365,0.000264392,1.33E-07,0.000264342,8.81E-05,0.00021693,0.000264292,3.33E-08,3.33E-08,3.33E-08,0,3.33E-08,3.33E-08,0,0,0.999864374,0.994726863,2.18E-05,1.64E-05,0.027961737,0.005801773,0.026308708,0.010931514,0.00011943,0,0,0,0,0,0,0,0,0,0.027283105,0.006398076,0.032946769,0.999864374,1.44E-05,1.18E-05,7.03E-06,4.59E-07,0,0,1.51E-05,0.999999864,0,0,0,0,0,0,0,0
0.006759747,2.16E-06,4.81E-06,0,0,0,0,0,0,0,0,0,0,0,0.005760922,0.401619433,2.16E-06,0,2.16E-06,2.17E-06,2.06E-06,2.06E-06,0,2.06E-06,2.07E-06,0,0,0,0,0,0,0,0.999864374,0.994726826,0.002699055,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.999864374,4.81E-06,0,0,0,0.006057739,0,0,0.999999886,0,0,0,0,0,0,0,0
0.001220722,0.050145647,9.62E-06,3.51E-06,0,0,0,0,0,0,0,0,0,0,0.005760922,0.400000133,0.016715279,0.039138308,0.04863987,8.83E-07,0.050145542,0.025072771,0.047386887,0.048639775,0.001505775,0,0,0,0,0,0,0,0.999864375,0.994726863,1.66E-07,8.31E-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.999864375,9.62E-06,0,3.51E-06,0,0.445571899,0.44190979,0,0.999999886,0,0,0,0,0,0,0,0
0.000808728,0.000257375,4.81E-06,7.03E-06,6.05E-06,3.29E-07,0.001571313,0.018886199,0.006566446,0,0.005927716,0.055735931,0.023566092,0,0.005765338,0.400025913,8.59E-05,0.000210123,0.000257317,1.33E-07,2.50E-08,2.50E-08,0,2.50E-08,3.33E-08,3.33E-08,3.33E-08,0,3.33E-08,3.33E-08,0,0,0.999864374,0.9947269,2.16E-05,3.24E-05,0.028697572,0.004149879,0.024888699,0.007408661,5.49E-05,0,0,0,0,0,0,0,0,0.006410256,0.02765411,0.006566446,0.023566092,0.999864374,4.81E-06,6.06E-06,7.03E-06,3.29E-07,0,0,5.03E-06,0.999999886,0,0,0,0,0,0,0,0
0.77644007,1.42E-07,4.81E-06,0,9.30E-07,0,0.000241741,0.002905569,0.001010222,0,0,0,0,0,0.006913106,0.48,1.42E-07,0,1.42E-07,1.50E-07,4.17E-08,4.17E-08,0,4.17E-08,5.00E-08,0,0,0,0,0,0,0,0.999864373,0.994726826,0.133333333,0,0.004415011,0.000241741,0.002311644,0,0,0,0,0,0,1,0,0,0,0,0.003082192,0.001010222,0,0.999864373,4.81E-06,9.32E-07,0,0,0.000473022,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.000808728,0.016537977,4.81E-06,7.03E-06,8.37E-06,4.61E-07,0.002336825,0.024213075,0.009092002,0.000845234,0.01070442,0.055735931,0.033061168,0.008739153,0.005761018,0.400000403,0.005512724,0.012879677,0.01602239,0.000257242,0.016279425,0.016279425,0,0.016279425,0.016279433,0.016280742,0.016280742,0,0.016280742,0.016280742,0,0,0.999864373,0.994726893,3.36E-07,5.04E-07,0.036791759,0.007493956,0.035059932,0.012061685,0.000145402,0,0,0,0,0,0,0,0,0.006410256,0.038955479,0.009092002,0.033061168,0.999864373,4.81E-06,8.39E-06,7.03E-06,4.61E-07,0,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.000808728,0.000261917,4.81E-06,7.03E-06,6.82E-06,7.53E-07,0.001772764,0.021307506,0.007408298,0,0.013581952,0.127705628,0.053996094,0,0.005769479,0.400025463,8.74E-05,0.000213824,0.00026185,1.42E-07,3.33E-08,3.33E-08,0,3.33E-08,4.17E-08,3.33E-08,3.33E-08,0,3.33E-08,3.33E-08,0,0,0.999864373,0.994726885,2.12E-05,3.18E-05,0.032376748,0.009508461,0.046541096,0.022225982,0.000493714,0,0,0,0,0,0,0,0,0.006410256,0.051712329,0.007408298,0.053996094,0.999864373,4.81E-06,6.84E-06,7.03E-06,7.53E-07,0,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.000808728,0.987827832,4.81E-06,7.03E-06,7.05E-06,3.33E-07,0.002054795,0.01937046,0.007660854,0.001162197,0.006042818,0.056277056,0.023909287,0.000105291,0.005760923,0.400000007,0.329166734,0.805424528,0.983333335,0.000283542,0.991666667,0.991666667,0,0.991666667,0.991666667,0.983333333,0.983333333,0,0.983333333,0.983333333,0,0,0.999864373,0.994726863,5.62E-09,8.44E-09,0.029433407,0.004230459,0.027046233,0.006685764,4.47E-05,0,0,0,0,0,0,0,0,0.006410256,0.03005137,0.007660854,0.023909287,0.999864373,4.81E-06,7.07E-06,7.03E-06,3.33E-07,0,0,5.03E-06,0.999999864,0.001125333,0,0.001125333,0.001125333,0.983333333,0,0.983333333,0.983333333
0.001220722,0.967300547,7.21E-05,4.92E-05,4.78E-05,4.08E-07,0.021434327,0,0.006482261,0.019664648,0.014387661,0,0.004183717,0.00993355,0.005760925,0.400000052,0.033355281,0.057490807,0.083365583,6.00E-07,0.96730035,0.06448669,0.049116215,0.083709758,1.98E-06,0.920924367,0.070840336,0.045358115,0.08371325,0.000123667,0,0,0.999864382,0.994727219,4.59E-08,6.03E-08,0,0.021434327,0.010837384,0.021880283,0.000478475,0,0,0,1,0,0,0,0,0,0.009954338,0.006482261,0.004183717,0.999864382,7.21E-05,4.79E-05,4.92E-05,4.08E-07,0.125015259,0.005249023,7.55E-05,0.999999864,0.000476123,0.000336841,0.001175442,0.000405018,0.083317128,7.55E-05,0.083365492,0.083192967
0.000808728,0.000282442,4.81E-06,7.03E-06,4.50E-06,1.95E-07,0.001168413,0.014043584,0.004882742,0,0.003510589,0.033008658,0.013956617,0,0.005763472,0.400023612,9.42E-05,0.000230154,0.000282017,1.33E-07,4.00E-07,4.00E-07,0,4.00E-07,4.08E-07,2.50E-08,2.50E-08,0,2.50E-08,2.50E-08,0,0,0.999864374,0.994726885,1.97E-05,2.95E-05,0.02133922,0.002457695,0.016104452,0.00370433,1.37E-05,0,0,0,0,0,0,0,0,0.006410256,0.017893836,0.004882742,0.013956617,0.999864374,4.81E-06,4.51E-06,7.03E-06,1.95E-07,0,0,5.03E-06,0.999999886,0,0,0,0,0,0,0,0
0.001220722,0.516378035,4.81E-06,0,9.30E-07,0,0.000241741,0.002905569,0.001010222,0,0,0,0,0,0.005760922,0.400000006,0.516666715,0,0.516666715,0.516666719,0.516666667,0.516666667,0,0.516666667,0.516666671,0,0,0,0,0,0,0,0.999864373,0.994726826,1.08E-08,0,0.004415011,0.000241741,0.002311644,0,0,0,0,0,0,1,0,0,0,0,0.003082192,0.001010222,0,0.999864373,4.81E-06,9.32E-07,0,0,0.501266479,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.000808728,0.001059742,0,3.51E-06,3.33E-06,2.22E-07,0.001732474,0.020823245,0.007239928,0,0.00799954,0.07521645,0.031802784,0,0.005761609,0.400003146,0.001059742,0,0.001059742,0.00105975,0,0,0,0,8.33E-09,0,0,0,0,0,0,0,0.999864372,0.994726844,2.62E-06,3.93E-06,0.031640912,0.005600322,0.028895548,0.011714121,0.000137143,0,0,0,0,0,0,0,0,0.006410256,0.038527397,0.007239928,0.031802784,0.999864372,0,3.34E-06,3.51E-06,2.22E-07,0,0,0,0.999999864,0,0,0,0,0,0,0,0
0.000808728,0.00025665,4.81E-06,7.03E-06,5.43E-06,3.06E-07,0.001410153,0.016949153,0.005892965,0,0.005524862,0.051948052,0.021964513,0,0.005765007,0.400025986,8.56E-05,0.000209072,0.000256217,1.33E-07,2.50E-08,2.50E-08,0,2.50E-08,3.33E-08,4.08E-07,4.08E-07,0,4.08E-07,4.08E-07,0,0,0.999864373,0.994726885,2.17E-05,3.25E-05,0.025754231,0.003867849,0.022885274,0.00706138,4.98E-05,0,0,0,0,0,0,0,0,0.006410256,0.025428082,0.005892965,0.021964513,0.999864373,4.81E-06,5.44E-06,7.03E-06,3.06E-07,0,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.530342565,1.25E-07,4.81E-06,0,2.40E-06,0,0.001248993,0,0.002609741,0.003275284,0,0,0,0,0.010705713,0.533333333,1.25E-07,0,1.25E-07,1.33E-07,2.50E-08,2.50E-08,0,2.50E-08,3.33E-08,0,0,0,0,0,1,0,0.999864374,0.994726826,0.222222222,0,0,0.001248993,0.007962329,0.003782685,1.43E-05,0,1,0,0,1,0,0,0,0,0.010616438,0.002609741,0,0.999864374,4.81E-06,2.41E-06,0,0,0.001831055,0,0,0.999999886,0,0,0,0,0,0,0,0
0.000808728,1.82E-06,4.81E-06,7.03E-06,4.96E-06,2.26E-07,0.001289283,0.015496368,0.005387853,0,0.004086096,0.038419913,0.016244588,0,0.006240999,0.403883495,6.72E-07,9.01E-07,1.37E-06,1.42E-07,3.33E-08,3.33E-08,0,3.33E-08,4.17E-08,4.08E-07,4.08E-07,0,4.08E-07,4.08E-07,0,0,0.999864373,0.994726863,0.003236246,0.004854369,0.023546726,0.002860596,0.018339041,0.004514653,2.04E-05,0,0,0,0,0,0,0,0,0.006410256,0.020376712,0.005387853,0.016244588,0.999864373,4.81E-06,4.97E-06,7.03E-06,2.26E-07,0,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.000808728,1.33E-06,4.81E-06,7.03E-06,6.98E-06,1.95E-07,0.001813054,0.021791768,0.007576669,0,0.003510589,0.033008658,0.013956617,0,0.006453277,0.405442177,5.08E-07,9.29E-07,1.27E-06,1.33E-07,2.50E-08,2.50E-08,0,2.50E-08,3.33E-08,3.33E-08,3.33E-08,0,3.33E-08,3.33E-08,0,0,0.999864373,0.994726863,0.004535147,0.006802721,0.033112583,0.002457695,0.019803082,0.001852165,3.43E-06,0,0,0,0,0,0,0,0,0.006410256,0.022003425,0.007576669,0.013956617,0.999864373,4.81E-06,6.99E-06,7.03E-06,1.95E-07,0,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.78721294,7.15E-05,4.81E-06,0,4.65E-07,0,0.000241741,0,0.000505111,0.000633926,0,0,0,0,0.005761258,0.400046696,7.15E-05,0,7.15E-05,7.15E-05,7.14E-05,7.14E-05,0,7.14E-05,7.14E-05,0,0,0,0,0,0,0,0.999864373,0.994726826,7.78E-05,0,0,0.000241741,0.000770548,0.000732133,5.36E-07,0,0,0,0,1,0,0,0,0,0.001027397,0.000505111,0,0.999864373,4.81E-06,4.66E-07,0,0,0.001342773,0,5.03E-06,0.999999864,0,0,0,0,0,0,0,0
0.000808728,0.0001957,0,3.51E-06,3.49E-06,1.75E-07,0.001813054,0.021791768,0.007576669,0,0.006330571,0.05952381,0.025167671,0,0.005764092,0.400017042,0.0001957,0,0.0001957,0.000195708,0,0,0,0,8.33E-09,0,0,0,0,0,0,0,0.999864372,0.994726856,1.42E-05,2.13E-05,0.033112583,0.00443191,0.025684932,0.007931436,6.29E-05,0,0,0,0,0,0,0,0,0.006410256,0.034246575,0.007576669,0.025167671,0.999864372,0,3.50E-06,3.51E-06,1.75E-07,0,0,0,0.999999864,0,0,0,0,0,0,0,0
